date,revenue,cogs,etsy_fees,api_cost,opex,net_profit,orders
2026-06-08,220.0,0.0,22.1,0.0,0.3,197.6,6
2026-06-09,0.0,0.0,0.0,0.01,0.3,-0.3,0
2026-06-10,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-11,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-12,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-13,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-14,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-15,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-16,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-17,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-18,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-19,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-20,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-21,0.0,0.0,0.0,0.0,0.3,-0.3,0
2026-06-22,0.0,0.0,0.0,0.0,0.3,-0.3,0
