product_id,product_name,gelato_product_url,mockup_image_url,image_status,local_file_name,last_downloaded_date,notes
classic_mug,Classic Ceramic Mug (11oz),mug_product_msz_11-oz_mmat_ceramic-white_cl_4-0,,Needs URL,,,
large_mug,Large Ceramic Mug (15oz),mug_product_msz_15-oz_mmat_ceramic-white_cl_4-0,,Needs URL,,,
color_mug,Colour-Interior Mug (11oz),mug_product_msz_11-oz_mmat_ceramic-black_cl_4-0,,Needs URL,,,
accent_mug,Accent Mug,mug_product_msz_11-oz_mmat_ceramic-black_cl_4-0,,Needs URL,,,
enamel_mug,Enamel Camp Mug (12oz),mug_product_msz_12-oz-enamel_mmat_metal-enamel-white_cl_4-0,,Needs URL,,,
travel_mug,Stainless Travel Mug (15oz),mug_product_msz_15-oz-travel_mmat_stainless-steel-white_cl_4-0,,Needs URL,,,
xl_mug,Large-Capacity Mug (20oz),mug_product_msz_11-oz_mmat_ceramic-white_cl_4-0,,Needs URL,,,
wall_cal,Wall Calendar,wall-calendars_pf_a3_pt_250-gsm-coated-silk_cl_4-4_bt_wire-with-hook-top_ver,,Needs URL,,,
desk_cal,Desk Calendar,desk-calendars_pf_dl_pt_200-gsm-coated-silk_cl_4-0_bt_wire-o-top_hor,,Needs URL,,,
family_cal,Family Organizer Calendar,wall-calendars_pf_a3_pt_250-gsm-coated-silk_cl_4-4_bt_wire-with-hook-top_ver,,Needs URL,,,
corporate_cal,Corporate Branded Calendar,wall-calendars_pf_a3_pt_250-gsm-coated-silk_cl_4-4_bt_wire-with-hook-top_ver,,Needs URL,,,
photo_cal,Photo Calendar,wall-calendars_pf_a3_pt_250-gsm-coated-silk_cl_4-4_bt_wire-with-hook-top_ver,,Needs URL,,,
event_cal,Event & Countdown Calendar,desk-calendars_pf_dl_pt_200-gsm-coated-silk_cl_4-0_bt_wire-o-top_hor,,Needs URL,,,
promo_cal,Business Promotional Calendar,wall-calendars_pf_a3_pt_250-gsm-coated-silk_cl_4-4_bt_wire-with-hook-top_ver,,Needs URL,,,
tote,Organic Cotton Tote Bag,bag_product_bsc_tote-bag_bqa_clc_bsi_std-t_bco_black_bpr_0-4,,Needs URL,,,
bottle,Insulated Stainless Water Bottle,bottle_product_bsz_17-oz_bmat_stainless-steel-white_cl_4-0,,Needs URL,,,
tumbler,Insulated Stainless Tumbler,bottle_product_bsz_17-oz_bmat_stainless-steel-white_cl_4-0,,Needs URL,,,
mousepad,Rectangular Mouse Pad,,,Needs URL,,,
notebook,Softcover Notebook,wire-o-multi-page-brochures_pf_a4_pt_100-lb-text-coated-silk_cl_4-4_bt_wire-o-left_cpt_130-lb-cover-coated-silk_ver,,Needs URL,,,
journal,Hardcover Journal,wire-o-multi-page-brochures_pf_a4_pt_100-lb-text-coated-silk_cl_4-4_bt_wire-o-left_cpt_130-lb-cover-coated-silk_ver,,Needs URL,,,
sticker,Die-Cut Vinyl Sticker,,,Needs URL,,,
phonecase,Tough Phone Case,phonecase_apple_iphone-11_clear_transparent_satin,,Needs URL,,,
keychain,Metal Keychain,,,Needs URL,,,
m_tshirt,Men's T-Shirt,,,Needs URL,,,
m_tshirt_value,Men's T-Shirt (Value),,,Needs URL,,,
m_tshirt_premium,Men's T-Shirt (Premium),,,Needs URL,,,
w_tshirt,Women's T-Shirt,,,Needs URL,,,
w_tshirt_value,Women's T-Shirt (Value),,,Needs URL,,,
w_tshirt_premium,Women's T-Shirt (Premium),,,Needs URL,,,
m_tank,Men's Tank Top,,,Needs URL,,,
m_tank_value,Men's Tank Top (Value),,,Needs URL,,,
m_tank_premium,Men's Tank Top (Premium),,,Needs URL,,,
w_tank,Women's Tank Top,,,Needs URL,,,
w_tank_value,Women's Tank Top (Value),,,Needs URL,,,
w_tank_premium,Women's Tank Top (Premium),,,Needs URL,,,
m_longsleeve,Men's Long Sleeve Shirt,,,Needs URL,,,
m_longsleeve_value,Men's Long Sleeve Shirt (Value),,,Needs URL,,,
m_longsleeve_premium,Men's Long Sleeve Shirt (Premium),,,Needs URL,,,
w_longsleeve,Women's Long Sleeve Shirt,,,Needs URL,,,
w_longsleeve_value,Women's Long Sleeve Shirt (Value),,,Needs URL,,,
w_longsleeve_premium,Women's Long Sleeve Shirt (Premium),,,Needs URL,,,
m_raglan,Men's 3/4 Sleeve Shirt,,,Needs URL,,,
m_raglan_value,Men's 3/4 Sleeve Shirt (Value),,,Needs URL,,,
m_raglan_premium,Men's 3/4 Sleeve Shirt (Premium),,,Needs URL,,,
w_raglan,Women's 3/4 Sleeve Shirt,,,Needs URL,,,
w_raglan_value,Women's 3/4 Sleeve Shirt (Value),,,Needs URL,,,
w_raglan_premium,Women's 3/4 Sleeve Shirt (Premium),,,Needs URL,,,
m_polo,Men's Polo Shirt,,,Needs URL,,,
m_polo_value,Men's Polo Shirt (Value),,,Needs URL,,,
m_polo_premium,Men's Polo Shirt (Premium),,,Needs URL,,,
m_hoodie,Men's Hoodie,,,Needs URL,,,
m_hoodie_value,Men's Hoodie (Value),,,Needs URL,,,
m_hoodie_premium,Men's Hoodie (Premium),,,Needs URL,,,
w_hoodie,Women's Hoodie,,,Needs URL,,,
w_hoodie_value,Women's Hoodie (Value),,,Needs URL,,,
w_hoodie_premium,Women's Hoodie (Premium),,,Needs URL,,,
m_sweatshirt,Men's Sweatshirt,,,Needs URL,,,
m_sweatshirt_value,Men's Sweatshirt (Value),,,Needs URL,,,
m_sweatshirt_premium,Men's Sweatshirt (Premium),,,Needs URL,,,
w_sweatshirt,Women's Sweatshirt,,,Needs URL,,,
w_sweatshirt_value,Women's Sweatshirt (Value),,,Needs URL,,,
w_sweatshirt_premium,Women's Sweatshirt (Premium),,,Needs URL,,,
